B lat lon SMp Cab Cdm Cw Cs Cca Cant N LAI LIDFa LIDFb hot Pa aot550 uo3 alt_m Pa0 tts tto psi
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 40 310
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 40 320
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 40 330
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 40 340
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 40 350
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 40 360
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 50 0
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 50 10
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 50 20
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 50 30
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 50 40
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 50 50
0.5 0 100 15 40 0.01 0.02 0 10 10 1.5 3 -0.35 -0.15 0.05 -999 0.3246 0.348 0 1013.25 40 50 60
